City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,madinat ash shamal,26.1293,51.2009,301.74,56,13,3.42,QA,1698592741
290,belle fourche,44.6714,-103.8522,270.65,67,57,7.33,US,1698592741
291,zhaobaoshan,29.9695,121.6875,291.16,77,67,2.41,CN,1698592742
292,mejit,10.2753,170.8646,301.42,80,93,8.56,MH,1698592743
293,preobrazheniye,42.9019,133.9064,279.49,55,1,2.29,RU,1698592743
294,san antonio de pale,-1.4014,5.6325,299.52,81,37,2.85,GQ,1698592696
295,dunedin,-45.8742,170.5036,281.37,88,25,1.4,NZ,1698592570
296,mil'kovo,55.6078,37.7956,274.37,92,100,4.21,RU,1698592745
297,kudahuvadhoo,2.6708,72.8944,301.31,77,97,7.5,MV,1698592746
298,columbia falls,48.3725,-114.1815,267.27,83,75,0.0,US,1698592746
299,yeppoon,-23.1333,150.7333,291.03,68,65,4.45,AU,1698592747
300,ilabaya,-17.4208,-70.5133,295.59,43,91,4.44,PE,1698592747
301,foios,39.5441,-0.3537,298.52,49,0,6.71,ES,1698592748
302,envira,-7.3,-70.2167,297.35,92,100,1.11,BR,1698592749
303,floro,61.5996,5.0328,280.13,36,0,3.6,NO,1698592563
304,ceres,37.5949,-120.9577,280.82,55,0,2.57,US,1698592506
305,terrace,54.5163,-128.6035,269.1,86,40,3.09,CA,1698592750
306,juan de herrera,18.874,-71.2383,300.79,70,29,2.29,DO,1698592751
307,bhag,29.0415,67.8239,303.67,20,16,2.12,PK,1698592752
308,grand-lahou,5.1367,-5.0242,301.73,72,49,4.5,CI,1698592752
309,hafnarfjordur,64.0671,-21.9377,280.08,53,0,1.03,IS,1698592753
310,todos santos,23.45,-110.2167,298.32,77,22,2.83,MX,1698592754
311,ilanskiy,56.2358,96.065,266.75,62,2,1.8,RU,1698592754
312,nelson,-41.2833,173.2833,282.2,69,100,3.13,NZ,1698592755
313,carloforte,39.145,8.3058,296.94,72,7,5.32,IT,1698592755
314,kidal,18.4411,1.4078,310.12,7,1,4.43,ML,1698592756
315,mata-utu,-13.2816,-176.1745,301.01,79,50,2.67,WF,1698592757
316,spearfish,44.4908,-103.8594,269.75,79,100,7.2,US,1698592757
317,thinadhoo,0.5333,72.9333,300.59,80,99,8.01,MV,1698592758
318,nambucca heads,-30.65,153.0,289.35,85,88,3.95,AU,1698592758
319,beni saf,35.301,-1.3823,297.31,67,82,3.45,DZ,1698592759
320,kpandae,8.4689,-0.0113,307.83,37,8,1.42,GH,1698592760
321,grants pass,42.439,-123.3284,274.53,91,0,0.0,US,1698592760
322,malabar,-33.9667,151.25,291.55,74,1,3.09,AU,1698592761
323,cuatro cienegas de carranza,26.9833,-102.0833,296.84,62,63,1.14,MX,1698592762
324,wenling,28.3669,121.36,290.56,82,4,2.65,CN,1698592762
325,lentvaris,54.65,25.05,275.39,85,75,4.63,LT,1698592763
326,aldinga beach,-35.2793,138.4604,288.05,75,100,5.9,AU,1698592764
327,ati,13.2154,18.3353,311.61,12,13,3.27,TD,1698592764
328,san jose de gracia,20.6667,-102.5833,292.64,65,16,0.43,MX,1698592765
329,rio grande,-32.035,-52.0986,304.21,74,2,1.09,BR,1698592552
330,horta,38.5333,-28.6333,291.49,62,40,4.47,PT,1698592492
331,sinabang,2.4803,96.3801,299.0,84,100,1.7,ID,1698592767
332,hasaki,35.7333,140.8333,286.37,61,18,8.97,JP,1698592768
333,goz beida,13.95,20.55,310.61,14,65,1.89,TD,1698592769
334,touros,-5.1989,-35.4608,303.32,53,63,8.59,BR,1698592769
335,antonio enes,-16.2325,39.9086,300.35,76,0,8.78,MZ,1698592770
336,paita,-5.0892,-81.1144,294.67,76,100,5.67,PE,1698592771
337,yibin,28.7667,104.6238,292.43,76,0,0.59,CN,1698592771
338,zadar,44.1197,15.2422,294.49,78,20,4.63,HR,1698592772
339,atasu,48.6814,71.6433,282.34,97,100,5.35,KZ,1698592772
340,albertina,-22.2008,-46.6158,301.04,53,89,4.54,BR,1698592773
341,shahr-e babak,30.1165,55.1186,292.74,23,9,0.69,IR,1698592773
342,raduzhny,62.0961,77.475,261.86,96,47,1.26,RU,1698592774
343,sovetskaya gavan',48.9723,140.2878,277.1,59,52,1.55,RU,1698592775
344,mormugao,15.4,73.8,301.74,74,25,2.06,IN,1698592776
345,pangody,65.85,74.4859,259.9,93,17,2.25,RU,1698592776
346,vytegra,61.0064,36.4481,271.13,89,100,1.79,RU,1698592778
347,nova xavantina,-14.6667,-52.35,312.54,25,8,3.66,BR,1698592778
348,daxi,24.8837,121.2904,295.74,79,22,2.47,TW,1698592779
349,la ronge,55.1001,-105.2842,269.29,93,100,4.12,CA,1698592779
350,santa terezinha,-29.9002,-50.0904,299.15,67,15,2.09,BR,1698592780
351,socorro,31.6546,-106.3033,293.64,36,0,2.57,US,1698592781
352,sarakhs,36.5449,61.1577,299.4,22,13,3.59,IR,1698592782
353,nybro,56.7446,15.9071,278.73,97,100,5.25,SE,1698592782
354,talnakh,69.4865,88.3972,252.37,96,64,1.11,RU,1698592783
355,luganville,-15.5333,167.1667,296.77,80,92,2.38,VU,1698592783
356,aleksandrov gay,50.147,48.5704,282.84,65,93,10.8,RU,1698592784
357,cockburn town,21.4612,-71.1419,301.14,80,44,5.09,TC,1698592785
358,saudarkrokur,65.7461,-19.6394,273.66,76,17,2.12,IS,1698592785
359,lakatoro,-16.0999,167.4164,297.15,78,85,2.28,VU,1698592786
360,sao paulo de olivenca,-3.3783,-68.8725,306.1,55,100,1.22,BR,1698592786
361,port augusta,-32.5,137.7667,287.1,67,36,4.8,AU,1698592787
362,san rafael del sur,11.8485,-86.4384,299.69,89,100,2.91,NI,1698592787
363,muntok,-2.0667,105.1833,300.54,73,84,3.95,ID,1698592788
364,khorixas,-20.3667,14.9667,309.06,4,0,7.53,NA,1698592789
365,nova sintra,14.8667,-24.7167,296.32,67,97,5.03,CV,1698592576
366,viareggio,43.8735,10.2558,295.14,84,99,3.15,IT,1698592790
367,tchintabaraden,15.8969,5.7985,309.55,7,3,1.03,NE,1698592790
368,argo,37.6333,22.7333,296.36,55,15,1.07,GR,1698592791
369,kavala,40.9397,24.4019,294.73,88,20,1.03,GR,1698592791
370,arteche,12.2645,125.4048,299.37,87,91,2.98,PH,1698592792
371,jayapura,-2.5333,140.7,298.81,89,66,3.08,ID,1698592792
372,quellon,-43.1167,-73.6167,281.11,52,87,7.0,CL,1698592793
373,zyryanovsk,49.7386,84.2719,272.62,99,100,0.25,KZ,1698592793
374,yeraliyev,43.2,51.65,292.81,48,90,5.4,KZ,1698592794
375,kilinochchi,9.3961,80.3982,299.05,85,98,2.87,LK,1698592794
376,sena madureira,-9.0656,-68.6569,299.5,72,100,1.8,BR,1698592795
377,shingu,33.7333,135.9833,284.34,80,0,2.89,JP,1698592796
378,mili,6.0815,171.735,301.73,77,100,6.44,MH,1698592796
379,karabuk,41.2049,32.6277,292.5,77,100,1.73,TR,1698592797
380,mweka,-4.85,21.5667,301.55,65,90,1.1,CD,1698592797
381,paramonga,-10.6667,-77.8333,294.61,78,90,4.57,PE,1698592798
382,acapulco de juarez,16.8634,-99.8901,300.59,77,83,1.17,MX,1698592799
383,taltal,-25.4,-70.4833,289.99,75,31,3.08,CL,1698592799
384,as sulayyil,20.4607,45.5779,303.29,27,100,4.26,SA,1698592800
385,elko,41.0002,-115.5012,264.16,42,0,1.66,US,1698592800
386,hilo,19.7297,-155.09,294.52,68,0,3.09,US,1698592765
387,aitape,-3.1374,142.3475,298.59,85,100,1.98,PG,1698592802
388,vandalia,39.8906,-84.1988,285.86,94,100,4.12,US,1698592518
389,nchelenge,-9.3451,28.734,301.33,52,69,0.87,ZM,1698592803
390,sinop,41.7711,34.8709,289.39,78,100,1.08,TR,1698592804
391,sosnovo-ozerskoye,52.5249,111.5418,263.37,58,56,1.54,RU,1698592805
392,nouadhibou,20.931,-17.0347,299.14,65,0,6.69,MR,1698592806
393,boguchany,58.3814,97.4531,268.63,63,34,4.92,RU,1698592807
394,sept-iles,50.2001,-66.3821,278.39,55,20,7.2,CA,1698592742
395,buala,-8.145,159.5921,299.37,84,98,1.06,SB,1698592808
396,nuuk,64.1835,-51.7216,272.49,74,100,1.54,GL,1698592809
397,rusape,-18.5278,32.1284,298.66,36,95,4.42,ZW,1698592810
398,xilin hot,43.9667,116.0333,274.84,43,35,3.19,CN,1698592810
399,ormara,25.2088,64.6357,300.37,75,0,4.48,PK,1698592811
400,akureyri,65.6835,-18.0878,274.11,80,0,0.51,IS,1698592812
401,majuro,7.0897,171.3803,300.13,83,100,3.09,MH,1698592812
402,elista,46.3078,44.2558,286.44,66,2,5.0,RU,1698592813
403,susuman,62.7833,148.1667,255.36,99,89,0.45,RU,1698592814
404,lamar,33.6668,-95.5836,281.1,98,100,7.72,US,1698592814
405,manta,-0.95,-80.7333,301.03,65,75,2.57,EC,1698592815
406,mogadishu,2.0371,45.3438,300.14,76,41,4.68,SO,1698592816
407,tateyama,34.9833,139.8667,289.32,61,15,6.57,JP,1698592817
408,makariv,50.4641,29.8113,283.89,78,47,1.61,UA,1698592818
409,mamuju,-2.6748,118.8885,299.23,82,77,1.4,ID,1698592818
410,yorkton,51.2167,-102.4677,266.06,93,100,4.63,CA,1698592819
411,minas de marcona,-15.2119,-75.1103,292.82,64,89,6.17,PE,1698592819
412,dryden,49.7833,-92.7503,269.31,93,100,2.57,CA,1698592820
413,hohenau,-27.0833,-55.75,298.8,74,79,1.04,PY,1698592820
414,umea,63.8284,20.2597,272.11,86,100,2.57,SE,1698592821
415,padangsidempuan,1.3667,99.2667,295.76,100,100,0.37,ID,1698592822
416,aurangabad,19.8833,75.3333,296.71,38,2,2.78,IN,1698592823
417,tejupilco de hidalgo,18.9,-100.15,294.87,75,5,0.43,MX,1698592823
418,bangar,16.8936,120.4243,298.81,84,42,1.99,PH,1698592824
419,holualoa,19.6228,-155.9522,295.8,81,20,2.24,US,1698592825
420,bel ombre,-4.6167,55.4167,301.06,83,20,3.09,SC,1698592825
421,shimoda,34.6667,138.95,287.65,62,0,2.25,JP,1698592826
422,santa sylvina,-27.8326,-61.1375,309.29,39,0,3.43,AR,1698592826
423,letlhakeng,-24.0944,25.0298,307.52,12,5,4.87,BW,1698592827
424,east london,-33.0153,27.9116,288.67,67,75,5.12,ZA,1698592827
425,caala,-12.8525,15.5606,295.31,56,87,1.81,AO,1698592828
426,pipraich,26.8264,83.53,296.23,49,2,1.63,IN,1698592829
427,hami,42.8,93.45,288.07,31,100,1.98,CN,1698592829
428,newman,37.3138,-121.0208,281.07,54,0,2.24,US,1698592830
429,nelson bay,-32.7167,152.15,289.87,83,2,3.13,AU,1698592807
430,caxias,38.7031,-9.2767,294.52,85,20,4.12,PT,1698592831
431,segou,13.4317,-6.2157,310.91,18,87,2.29,ML,1698592831
432,lampasas,31.2168,-98.2336,283.18,93,100,4.63,US,1698592832
433,usogorsk,63.4106,48.6872,269.63,83,100,3.4,RU,1698592832
434,quatre cocos,-20.2078,57.7625,299.21,74,11,4.5,MU,1698592833
435,greenville,35.6127,-77.3663,299.34,67,0,3.6,US,1698592833
436,ain leuh,33.2921,-5.3384,291.54,39,78,4.65,MA,1698592834
437,baro,8.6,6.4167,309.37,30,93,1.51,NG,1698592835
438,manismata,-2.4667,111.0333,297.83,89,38,0.56,ID,1698592835
439,new norfolk,-42.7826,147.0587,284.66,74,100,1.88,AU,1698592836
440,sabang,5.8933,95.3214,300.69,75,57,1.86,ID,1698592836
441,pallasovka,50.05,46.8833,282.63,68,97,9.5,RU,1698592837
442,fort st. john,56.2499,-120.8529,264.09,92,75,2.57,CA,1698592548
443,saint-joseph,-21.3667,55.6167,298.36,86,39,4.67,RE,1698592839
444,san antonio,29.4241,-98.4936,300.01,80,75,5.66,US,1698592788
445,fish town,5.1964,-7.8756,300.59,72,78,2.2,LR,1698592840
446,ribeira brava,32.65,-17.0667,297.04,81,100,4.32,PT,1698592840
447,valdivia,-39.8142,-73.2459,281.2,93,100,4.65,CL,1698592630
448,pacific grove,36.6177,-121.9166,286.72,43,0,4.02,US,1698592841
449,tralee,52.2704,-9.7026,283.29,93,20,0.51,IE,1698592722
450,howrah,22.5892,88.3103,299.15,73,40,2.57,IN,1698592843
451,crucecita,-28.95,-58.9833,302.18,55,15,2.89,AR,1698592844
452,tavda,58.0425,65.2726,269.65,70,100,4.47,RU,1698592845
453,puerto carreno,6.189,-67.4859,305.47,58,20,2.92,CO,1698592845
454,hithadhoo,-0.6,73.0833,300.24,79,100,7.68,MV,1698592846
455,kristiansund,63.1115,7.732,278.18,70,0,4.12,NO,1698592847
456,ingeniero guillermo n. juarez,-23.9,-61.85,309.72,35,35,3.57,AR,1698592847
457,kilindoni,-7.9139,39.6668,300.35,79,96,5.66,TZ,1698592848
458,caiaponia,-16.9567,-51.8103,309.77,26,65,5.19,BR,1698592848
459,la passe,45.5549,-0.8967,290.36,80,100,4.49,FR,1698592849
460,ghat,24.9647,10.1728,306.77,13,1,3.39,LY,1698592849
461,umatilla,45.5001,-118.5014,268.53,85,0,0.0,US,1698592850
462,coquimbo,-29.9533,-71.3436,292.0,55,0,4.12,CL,1698592730
463,la'ie,21.6477,-157.9253,297.1,79,6,3.32,US,1698592851
464,gaspe,48.8334,-64.4819,278.27,52,75,6.17,CA,1698592852
465,richmond,37.5538,-77.4603,299.7,69,20,3.09,US,1698592280
466,freetown,8.484,-13.2299,302.99,74,75,3.6,SL,1698592853
467,al bawiti,28.3492,28.8659,301.53,27,1,4.27,EG,1698592854
468,glenfield park,-35.1372,147.334,290.57,28,83,5.74,AU,1698592854
469,korce,40.6186,20.7808,291.1,51,0,1.35,AL,1698592855
470,maragogi,-9.0122,-35.2225,301.25,60,60,6.43,BR,1698592856
471,kerman,30.2832,57.0788,294.07,32,0,3.09,IR,1698592856
472,yelwa,8.8333,9.6333,309.07,30,92,1.73,NG,1698592857
473,abashiri,44.0213,144.2697,281.49,76,82,0.96,JP,1698592857
474,howard springs,-12.497,131.047,302.1,82,21,1.02,AU,1698592858
475,hemmoor,53.7,9.1167,287.65,77,68,6.12,DE,1698592859
476,gizo,-8.103,156.8419,300.5,81,100,2.85,SB,1698592859
477,magadan,59.5667,150.8,270.86,75,93,2.1,RU,1698592860
478,zaozersk,69.4005,32.4476,264.07,95,100,1.24,RU,1698592860
479,yelizovo,53.1873,158.3805,276.93,86,0,4.0,RU,1698592861
480,uturoa,-16.7333,-151.4333,299.41,78,13,7.16,PF,1698592861
481,ingeniero jacobacci,-41.3427,-69.5448,279.61,41,67,13.51,AR,1698592862
482,ibiruba,-28.6275,-53.0897,298.68,69,55,3.11,BR,1698592862
483,undurkhaan,47.3194,110.6556,272.25,51,10,2.37,MN,1698592863
484,sarvar,47.2539,16.9352,292.07,60,94,11.18,HU,1698592864
485,aripuana,-9.1667,-60.6333,313.89,21,72,1.41,BR,1698592864
486,antsohihy,-14.8796,47.9875,302.04,67,21,3.56,MG,1698592865
487,salmon arm,50.6998,-119.3024,268.39,86,17,1.54,CA,1698592865
488,boyolangu,-8.1181,111.8935,297.54,89,75,1.72,ID,1698592866
489,taroa,8.7058,171.2275,301.5,80,46,8.95,MH,1698592867
490,kenai,60.5544,-151.2583,277.2,81,100,5.66,US,1698592867
491,belmonte,-15.8631,-38.8828,301.6,56,86,4.92,BR,1698592868
492,nishinoomote,30.7333,131.0,293.39,55,1,2.94,JP,1698592869
493,huarmey,-10.0681,-78.1522,295.34,77,73,5.34,PE,1698592869
494,demyansk,57.643,32.466,271.31,86,86,1.39,RU,1698592870
495,ponta delgada,37.7333,-25.6667,291.59,63,40,6.17,PT,1698592870
496,buka,40.8108,69.1986,295.77,30,100,2.13,UZ,1698592871
497,naze,28.3667,129.4833,290.66,66,0,2.3,JP,1698592871
498,cill airne,52.05,-9.5167,283.18,93,20,0.51,IE,1698592872
499,nadym,65.5333,72.5167,262.78,98,89,1.75,RU,1698592873
500,padang,-0.9492,100.3543,299.18,89,100,1.39,ID,1698592803
501,las tablas,7.7667,-80.2833,302.14,70,91,2.1,PA,1698592874
502,robbah,33.2797,6.9098,302.95,14,100,1.69,DZ,1698592874
503,lorengau,-2.0226,147.2712,299.91,82,100,3.42,PG,1698592875
504,chonchi,-42.6128,-73.8092,283.22,57,65,4.68,CL,1698592875
505,filey,54.21,-0.2892,284.97,90,74,0.45,GB,1698592642
506,carnarvon,-24.8667,113.6333,293.27,69,0,11.14,AU,1698592876
507,dali,25.7,100.1833,286.29,66,23,1.17,CN,1698592877
508,prince rupert,54.3161,-130.3201,277.98,86,0,4.12,CA,1698592877
509,tshabong,-26.05,22.45,301.93,8,0,3.8,BW,1698592878
510,bonab,37.3404,46.0561,290.4,39,0,0.0,IR,1698592879
511,lompoc,34.6391,-120.4579,284.78,77,0,4.12,US,1698592879
512,arraial do cabo,-22.9661,-42.0278,306.07,55,0,3.09,BR,1698592880
513,gambiran satu,-8.3939,114.1464,295.51,90,9,0.73,ID,1698592881
514,tobol,52.6844,62.5794,276.93,100,100,4.1,KZ,1698592882
515,mahina,-17.5065,-149.489,297.02,83,20,0.51,PF,1698592882
516,kankanhalli,12.55,77.4167,295.3,86,100,2.98,IN,1698592883
517,yurimaguas,-5.9,-76.0833,297.24,100,100,2.06,PE,1698592884
518,prince george,53.9166,-122.753,259.84,78,0,0.0,CA,1698592813
519,lillehammer,61.1146,10.4674,271.43,62,1,0.34,NO,1698592885
520,shahrak,34.1074,64.3052,283.24,45,7,2.09,AF,1698592885
521,richards bay,-28.783,32.0377,290.2,59,100,8.03,ZA,1698592886
522,bukittinggi,-0.3091,100.3706,292.4,96,100,0.17,ID,1698592802
523,rongelap,11.1635,166.8941,301.51,72,91,9.32,MH,1698592877
524,kill devil hills,36.0307,-75.676,296.16,61,0,2.57,US,1698592888
525,vorkuta,67.5,64.0,255.76,96,19,2.12,RU,1698592889
526,piraquara,-25.4417,-49.0633,297.76,77,100,3.6,BR,1698592890
527,bundaberg,-24.85,152.35,288.83,84,1,0.45,AU,1698592869
528,khandyga,62.6667,135.6,265.07,96,100,1.7,RU,1698592891
529,popondetta,-8.7537,148.2534,296.06,92,96,1.2,PG,1698592891
530,hakui,36.8833,136.7833,288.04,74,11,1.38,JP,1698592873
531,cuorgne,45.3895,7.6499,288.07,84,100,0.95,IT,1698592893
532,krasnoshchekovo,51.6708,82.7289,272.66,98,100,1.52,RU,1698592893
533,pak phanang,8.3511,100.202,301.16,73,97,2.41,TH,1698592894
534,siwa oasis,29.2041,25.5195,302.49,34,93,3.22,EG,1698592894
535,i-n-salah,27.1935,2.4607,309.56,10,100,1.73,DZ,1698592895
536,callao,-12.0667,-77.15,295.31,73,20,7.72,PE,1698592895
537,obonoma,4.7084,6.7931,303.56,67,99,0.29,NG,1698592896
538,boa vista,2.8197,-60.6733,307.14,49,40,5.66,BR,1698592787
539,tangalle,6.024,80.7911,299.06,82,48,0.86,LK,1698592824
540,pula,44.8683,13.8481,293.46,77,0,3.09,HR,1698592897
541,sadri,25.1833,73.4333,299.07,30,4,1.86,IN,1698592898
542,kosong,38.3788,128.4676,283.42,70,0,2.42,KR,1698592899
543,kimbe,-5.5502,150.1429,297.41,93,97,1.75,PG,1698592899
544,nenjiang,49.1833,125.2167,277.61,49,67,1.79,CN,1698592900
545,yarega,63.4354,53.5765,266.97,85,100,4.74,RU,1698592900
546,villa rica,33.7321,-84.9191,297.27,70,0,0.45,US,1698592901
547,mariestad,58.7097,13.8237,278.41,88,100,6.41,SE,1698592901
548,dzhambeyty,50.2536,52.595,282.67,67,88,11.89,KZ,1698592902
549,brokopondo,4.75,-55.1667,304.85,52,70,1.47,SR,1698592902
550,danjiangkou,32.5428,111.5086,292.27,61,0,1.42,CN,1698592903
551,mazamari,-11.3258,-74.5308,298.26,88,99,1.1,PE,1698592904
552,paragominas,-2.9667,-47.4833,309.89,32,4,3.24,BR,1698592905
553,pechora,65.1472,57.2244,264.18,80,100,1.79,RU,1698592905
554,puerto san jose,13.9256,-90.8244,300.64,78,99,5.59,GT,1698592906
555,hadibu,12.65,54.0333,299.92,76,100,4.55,YE,1698592906
556,oum hadjer,13.2954,19.6966,310.97,16,35,2.67,TD,1698592907
557,puerto armuelles,8.2833,-82.8667,300.14,87,75,3.13,PA,1698592873
558,bulawayo,-20.15,28.5833,295.53,55,61,2.02,ZW,1698592908
559,christchurch,-43.5333,172.6333,285.32,79,75,6.69,NZ,1698592704
560,gangakher,18.95,76.75,295.98,44,0,3.23,IN,1698592909
561,aral,40.5156,81.2636,288.21,26,13,1.21,CN,1698592910
562,humaita,-7.5061,-63.0208,312.32,24,43,2.0,BR,1698592910
563,la gi,10.6667,107.7833,299.88,86,92,4.11,VN,1698592911
564,san felipe,10.3399,-68.7425,302.17,73,98,1.03,VE,1698592912
565,inari,68.906,27.0288,267.26,97,83,0.88,FI,1698592912
566,dombovar,46.3766,18.137,293.6,56,11,5.96,HU,1698592913
567,margate,51.3813,1.3862,283.88,88,87,2.24,GB,1698592749
568,novyy urgal,51.0736,132.5642,272.39,69,97,0.58,RU,1698592914
569,kurchatov,51.6601,35.6521,278.38,79,81,3.34,RU,1698592915
570,puerto maldonado,-12.6,-69.1833,302.37,70,75,3.09,PE,1698592916
571,dakhla,23.6848,-15.958,296.16,68,0,7.2,EH,1698592901
572,sechura,-5.5569,-80.8222,296.16,69,100,5.34,PE,1698592917
573,qiqihar,47.3408,123.9672,281.0,44,100,5.82,CN,1698592917
574,mahibadhoo,3.7833,72.9667,301.44,73,100,6.78,MV,1698592881
575,emmett,43.8735,-116.4993,273.11,76,0,1.34,US,1698592918
576,qarqaraly,49.4058,75.4742,276.79,99,100,4.25,KZ,1698592919
577,fujin,47.26,132.0322,276.67,51,41,3.57,CN,1698592920
578,irara,-12.05,-38.7667,307.21,25,100,4.45,BR,1698592920
579,shalqar,47.8333,59.6,288.56,67,97,7.93,KZ,1698592921
580,troitsko-pechorsk,62.7084,56.1964,265.76,98,100,1.34,RU,1698592921
